Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Arsenal,David Raya,es ESP,GK,28.0,38,38,3420.0,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0
Manchester City,Ederson,br BRA,GK,30.0,25,25,2250.0,25.8,26,1.04,78,53,69.2,16,4,6,10,40.0,2,2,0,0,0.0
Manchester City,Stefan Ortega,de GER,GK,31.0,12,12,1080.0,12.2,18,1.5,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0
Chelsea,Robert Sánchez,es ESP,GK,26.0,32,32,2880.0,32.0,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20.0
Chelsea,Filip Jørgensen,dk DEN,GK,22.0,6,6,540.0,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0
Newcastle United,Nick Pope,eng ENG,GK,32.0,28,28,2520.0,28.0,35,1.25,120,86,71.7,13,6,9,8,28.6,2,1,1,0,50.0
Newcastle United,Martin Dúbravka,sk SVK,GK,35.0,10,10,900.0,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,
Aston Villa,Emiliano Martínez,ar ARG,GK,31.0,37,37,3194.0,35.5,45,1.27,142,96,69.0,18,9,10,8,21.6,2,1,1,0,50.0
Aston Villa,Robin Olsen,se SWE,GK,34.0,4,1,226.0,2.5,6,2.39,14,8,64.3,1,0,0,1,100.0,1,1,0,0,0.0
Nottingham Forest,Matz Sels,be BEL,GK,32.0,38,38,3420.0,38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0
Brighton and Hove Albion,Bart Verbruggen,nl NED,GK,21.0,36,36,3240.0,36.0,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0.0
Brighton and Hove Albion,Jason Steele,eng ENG,GK,33.0,2,2,180.0,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
Bournemouth,Kepa Arrizabalaga,es ESP,GK,29.0,31,31,2790.0,31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0.0
Bournemouth,Mark Travers,ie IRL,GK,25.0,5,5,450.0,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,
Bournemouth,Neto,br BRA,GK,35.0,2,2,180.0,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,
Brentford,Mark Flekken,nl NED,GK,31.0,36,36,3240.0,36.4,55,1.53,203,150,73.4,16,8,13,7,19.4,1,1,0,0,0.0
Brentford,Hákon Rafn Valdimarsson,is ISL,GK,22.0,1,1,90.0,1.6,2,2.0,4,3,50.0,0,0,1,1,100.0,0,0,0,0,
Fulham,Bernd Leno,de GER,GK,32.0,38,38,3420.0,38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0
Crystal Palace,Dean Henderson,eng ENG,GK,27.0,38,38,3420.0,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0
Everton,Jordan Pickford,eng ENG,GK,30.0,38,38,3420.0,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0
West Ham United,Alphonse Areola,fr FRA,GK,31.0,25,25,2205.0,25.1,41,1.67,115,77,64.3,5,7,13,5,20.0,0,0,0,0,
West Ham United,Łukasz Fabiański,pl POL,GK,39.0,13,12,1125.0,12.9,21,1.68,71,50,74.6,6,3,4,2,16.7,3,3,0,0,0.0
Manchester United,André Onana,cm CMR,GK,28.0,34,34,3060.0,34.0,44,1.29,132,88,68.9,10,9,15,9,26.5,4,3,1,0,25.0
Manchester United,Altay Bayındır,tr TUR,GK,26.0,4,4,360.0,4.0,10,2.5,17,8,41.2,1,0,3,1,25.0,0,0,0,0,
Wolverhampton Wanderers,José Sá,pt POR,GK,31.0,29,29,2610.0,29.0,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6
Wolverhampton Wanderers,Sam Johnstone,eng ENG,GK,31.0,7,7,630.0,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0
Wolverhampton Wanderers,Daniel Bentley,eng ENG,GK,31.0,2,2,180.0,2.0,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,
Wolverhampton Wanderers,Tom King,wls WAL,GK,29.0,0,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,
Tottenham Hotspur,Guglielmo Vicario,it ITA,GK,27.0,24,24,2160.0,24.0,37,1.54,102,67,64.7,9,3,12,4,16.7,1,1,0,0,0.0
Tottenham Hotspur,Fraser Forster,eng ENG,GK,36.0,7,7,630.0,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0
Tottenham Hotspur,Antonín Kinský,cz CZE,GK,21.0,6,6,540.0,6.0,11,1.83,32,23,65.6,1,0,5,1,16.7,0,0,0,0,
Tottenham Hotspur,Brandon Austin,eng ENG,GK,25.0,1,1,90.0,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Leicester City,Mads Hermansen,dk DEN,GK,24.0,27,27,2385.0,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0
Leicester City,Jakub Stolarczyk,pl POL,GK,23.0,10,10,900.0,10.0,16,1.6,44,28,63.6,3,1,6,2,20.0,0,0,0,0,
Leicester City,Danny Ward,wls WAL,GK,31.0,2,1,135.0,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,
Ipswich Town,Arijanet Muric,xk KVX,GK,25.0,18,18,1620.0,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0
Ipswich Town,Alex Palmer,eng ENG,GK,27.0,13,13,1170.0,13.0,30,2.31,71,43,59.2,1,3,9,0,0.0,1,1,0,0,0.0
Ipswich Town,Christian Walton,eng ENG,GK,28.0,7,7,630.0,7.0,19,2.71,39,20,56.4,1,1,5,1,14.3,2,2,0,0,0.0
Southampton,Aaron Ramsdale,eng ENG,GK,26.0,30,30,2700.0,30.0,66,2.2,188,120,67.6,2,5,23,3,10.0,7,5,2,0,28.6
Southampton,Alex McCarthy,eng ENG,GK,34.0,5,5,450.0,5.0,13,2.6,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0
Southampton,Joe Lumley,eng ENG,GK,29.0,3,3,270.0,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,
Barcelona,Iñaki Peña,es ESP,GK,25.0,15,15,1350.0,15.5,18,1.2,53,35,69.8,7,3,5,4,26.7,2,2,0,0,0.0
Barcelona,Wojciech Szczęsny,pl POL,GK,34.0,15,15,1350.0,15.0,12,0.8,33,21,66.7,14,1,0,8,53.3,1,1,0,0,0.0
Barcelona,Marc-André ter Stegen,de GER,GK,32.0,7,7,630.0,7.5,9,1.29,22,13,63.6,7,0,1,1,14.3,1,1,0,0,0.0
Real Madrid,Thibaut Courtois,be BEL,GK,32.0,30,30,2700.0,30.0,29,0.97,104,76,75.0,20,6,4,11,36.7,3,3,0,0,0.0
Real Madrid,Andriy Lunin,ua UKR,GK,25.0,7,7,630.0,7.0,7,1.0,20,13,65.0,6,0,1,4,57.1,0,0,0,0,
Real Madrid,Fran,es ESP,GK,19.0,1,1,90.0,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
Atletico Madrid,Jan Oblak,si SVN,GK,31.0,36,36,3240.0,36.0,30,0.83,114,86,78.1,20,10,6,15,41.7,5,5,0,0,0.0
Atletico Madrid,Juan Musso,ar ARG,GK,30.0,2,2,180.0,2.0,0,0.0,2,2,100.0,2,0,0,2,100.0,0,0,0,0,
Athletic Club,Unai Simón,es ESP,GK,27.0,21,21,1890.0,21.0,14,0.67,62,47,79.0,10,8,3,10,47.6,2,1,1,0,50.0
Athletic Club,Julen Agirrezabala,es ESP,GK,23.0,14,14,1206.0,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0
Athletic Club,Alex Padilla,es ESP,GK,20.0,5,3,321.0,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0
Villarreal,Diego Conde,es ESP,GK,25.0,21,21,1890.0,21.8,33,1.57,94,62,68.1,11,6,5,2,9.5,4,3,0,1,0.0
Villarreal,Luiz Lúcio Reis Júnior,br BRA,GK,23.0,16,16,1440.0,16.2,18,1.13,66,48,78.8,9,4,3,5,31.3,4,4,0,0,0.0
Real Betis,Adrián,es ESP,GK,37.0,19,19,1710.0,19.0,27,1.42,76,49,65.8,10,5,4,3,15.8,1,1,0,0,0.0
Real Betis,Rui Silva,pt POR,GK,30.0,15,15,1350.0,15.0,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0
Real Betis,Fran Vieites,es ESP,GK,25.0,4,4,360.0,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,
Celta Vigo,Vicente Guaita,es ESP,GK,37.0,34,34,3060.0,34.0,48,1.41,127,79,64.6,14,7,13,8,23.5,3,3,0,0,0.0
Celta Vigo,Iván Villar,es ESP,GK,27.0,4,4,360.0,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0
Rayo Vallecano,Augusto Batalla,ar ARG,GK,28.0,32,32,2880.0,32.0,39,1.22,133,93,75.2,10,12,10,8,25.0,8,6,2,0,25.0
Rayo Vallecano,Dani Cárdenas,es ESP,GK,27.0,6,6,540.0,6.0,6,1.0,20,14,70.0,3,1,2,2,33.3,0,0,0,0,
Osasuna,Sergio Herrera,es ESP,GK,31.0,37,37,3330.0,37.0,52,1.41,182,131,75.3,12,15,10,8,21.6,7,7,0,0,0.0
Osasuna,Aitor Fernández,es ESP,GK,33.0,1,1,90.0,1.0,0,0.0,5,5,100.0,0,1,0,1,100.0,0,0,0,0,
Mallorca,Dominik Greif,sk SVK,GK,27.0,31,31,2790.0,31.0,34,1.1,116,83,72.4,11,8,12,7,22.6,2,2,0,0,0.0
Mallorca,Leo Román,es ESP,GK,24.0,7,7,630.0,7.0,10,1.43,49,39,81.6,2,1,4,2,28.6,1,1,0,0,0.0
Real Sociedad,Álex Remiro,es ESP,GK,29.0,36,36,3240.0,36.0,43,1.19,130,86,70.8,13,7,16,13,36.1,6,5,1,0,16.7
Real Sociedad,Unai Marrero,es ESP,GK,22.0,2,2,180.0,2.0,3,1.5,12,8,75.0,0,0,2,0,0.0,1,0,1,0,100.0
Valencia,Giorgi Mamardashvili,ge GEO,GK,23.0,34,34,3060.0,34.0,48,1.41,136,89,68.4,11,11,12,8,23.5,7,5,2,0,28.6
Valencia,Stole Dimitrievski,mk MKD,GK,30.0,4,4,360.0,4.0,6,1.5,12,6,58.3,0,2,2,0,0.0,2,1,0,1,0.0
Getafe,David Soria,es ESP,GK,31.0,38,38,3420.0,38.0,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1
Espanyol,Joan García,es ESP,GK,23.0,38,38,3420.0,38.0,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3
Alaves,Antonio Sivera,es ESP,GK,27.0,31,31,2757.0,31.2,39,1.27,112,75,73.2,9,10,13,8,25.8,9,9,0,0,0.0
Alaves,Jesús Owono,gq EQG,GK,23.0,5,5,450.0,5.4,7,1.4,14,7,57.1,1,1,3,0,0.0,1,1,0,0,0.0
Alaves,Adrian Rodriguez,es ESP,GK,23.0,2,1,122.0,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0
Girona,Paulo Gazzaniga,ar ARG,GK,32.0,36,36,3195.0,35.5,51,1.44,143,90,65.7,11,8,17,8,22.2,5,2,3,0,60.0
Girona,Krapyvtsov Vladyslav,ua UKR,GK,19.0,2,2,180.0,2.0,7,3.5,18,11,66.7,0,0,2,0,0.0,1,1,0,0,0.0
Girona,Pau López,es ESP,GK,29.0,1,0,45.0,0.5,2,4.0,3,1,33.3,0,0,0,0,,0,0,0,0,
Sevilla,Ørjan Nyland,no NOR,GK,33.0,29,29,2610.0,29.7,39,1.34,112,73,67.9,8,10,12,7,24.1,4,3,1,0,25.0
Sevilla,Álvaro Fernández,es ESP,GK,26.0,8,8,720.0,8.3,16,2.0,36,20,61.1,2,1,5,3,37.5,2,2,0,0,0.0
Leganes,Marko Dmitrović,rs SRB,GK,32.0,32,32,2880.0,32.0,49,1.53,150,103,72.0,8,11,13,10,31.3,8,7,0,1,0.0
Leganes,Juan Soriano,es ESP,GK,26.0,6,6,540.0,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,
Las Palmas,Jasper Cillessen,nl NED,GK,35.0,25,25,2250.0,26.0,42,1.68,128,85,70.3,6,8,13,3,12.0,8,4,3,1,42.9
Las Palmas,Dinko Horkaš,hr CRO,GK,25.0,11,11,990.0,12.1,19,1.73,54,35,66.7,2,0,9,1,9.1,2,1,1,0,50.0
Valladolid,Karl Jakob Hein,ee EST,GK,22.0,31,31,2790.0,31.0,68,2.19,163,96,60.7,4,4,23,5,16.1,4,4,0,0,0.0
Valladolid,André Ferreira,pt POR,GK,28.0,6,6,540.0,6.0,20,3.33,39,19,56.4,0,0,6,0,0.0,3,3,0,0,0.0
Valladolid,Arnau Rafús,es ESP,GK,21.0,1,1,90.0,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
Genk,Hendrik Van Crombrugge,be BEL,GK,31.0,19,19,1710.0,19.0,24,1.26,71,47,66.2,13,3,3,8,42.1,1,0,0,1,
Genk,Mike Penders,be BEL,GK,19.0,11,11,989.0,11.0,8,0.73,32,24,78.1,8,2,1,4,36.4,1,1,0,0,0.0
Club Brugge,Simon Mignolet,be BEL,GK,36.0,29,29,2610.0,29.7,35,1.21,103,69,68.9,17,8,5,8,27.6,4,3,1,0,25.0
Club Brugge,Nordin Jackers,be BEL,GK,26.0,0,0,,0.3,1,,3,2,66.7,0,0,0,0,,0,0,0,0,
Union SG,Anthony Moris,lu LUX,GK,34.0,30,30,2700.0,30.0,25,0.83,99,74,75.8,15,10,5,13,43.3,2,1,0,1,0.0
Anderlecht,Colin Coosemans,be BEL,GK,31.0,28,28,2520.0,28.0,25,0.89,128,101,80.5,14,6,8,14,50.0,2,0,2,0,100.0
Anderlecht,Mads Kikkenborg,dk DEN,GK,24.0,2,2,180.0,2.0,2,1.0,10,8,80.0,1,0,1,0,0.0,0,0,0,0,
Antwerp,Senne Lammens,be BEL,GK,22.0,30,30,2700.0,30.0,32,1.07,161,127,81.4,12,10,8,7,23.3,6,2,4,0,66.7
Gent,Davy Roef,be BEL,GK,30.0,26,26,2340.0,26.0,30,1.15,143,114,79.7,9,11,6,11,42.3,1,1,0,0,0.0
Gent,Tom Vandenberghe,be BEL,GK,31.0,3,3,270.0,3.0,3,1.0,11,8,72.7,1,1,1,1,33.3,0,0,0,0,
Gent,Daniel Schmidt,jp JPN,GK,32.0,1,1,90.0,1.0,0,0.0,5,5,100.0,1,0,0,1,100.0,0,0,0,0,
Standard Liege,Matthieu Epolo,be BEL,GK,20.0,19,18,1665.0,18.5,21,1.14,93,72,77.4,5,6,7,8,44.4,1,0,1,0,100.0
Standard Liege,Gavin Bazunu,ie IRL,GK,22.0,6,6,540.0,6.0,12,2.0,25,13,52.0,1,1,4,1,16.7,0,0,0,0,
Standard Liege,Laurent Henkinet,be BEL,GK,31.0,4,4,315.0,3.5,1,0.29,13,12,92.3,3,1,0,2,50.0,0,0,0,0,
Standard Liege,Arnaud Bodart,be BEL,GK,26.0,2,2,180.0,2.0,1,0.5,6,5,83.3,1,1,0,1,50.0,0,0,0,0,
Mechelen,Ortwin De Wolf,be BEL,GK,27.0,30,30,2700.0,30.0,40,1.33,142,106,75.4,10,8,12,9,30.0,5,5,0,0,0.0
Westerlo,Sinan Bolat,tr TUR,GK,35.0,11,11,990.0,11.0,20,1.82,62,42,71.0,4,3,4,1,9.1,2,2,0,0,0.0
Westerlo,Koen Van Langendonck,be BEL,GK,35.0,10,10,900.0,10.0,16,1.6,41,24,65.9,2,2,6,2,20.0,3,2,1,0,33.3
Westerlo,Andreas Jungdal,dk DEN,GK,22.0,8,8,720.0,8.0,10,1.25,27,17,66.7,4,2,2,2,25.0,2,1,1,0,50.0
Westerlo,Nick Gillekens,be BEL,GK,29.0,1,1,90.0,1.0,3,3.0,11,8,72.7,0,0,1,0,0.0,0,0,0,0,
Charleroi,Mohamed Koné,ci CIV,GK,22.0,21,21,1890.0,21.0,21,1.0,74,53,75.7,8,5,8,6,28.6,4,3,1,0,25.0
Charleroi,Martin Delavallée,be BEL,GK,20.0,8,8,720.0,8.0,13,1.62,47,34,72.3,2,2,4,1,12.5,0,0,0,0,
Charleroi,Théo Defourny,be BEL,GK,32.0,1,1,90.0,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
OH Leuven,Tobe Leysen,be BEL,GK,22.0,29,29,2610.0,29.0,32,1.1,126,95,77.8,8,13,8,9,31.0,5,4,1,0,20.0
OH Leuven,Maxence Prevot,fr FRA,GK,27.0,1,1,90.0,1.0,1,1.0,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
Dender,Michael Verrips,nl NED,GK,27.0,26,26,2295.0,26.0,41,1.61,129,90,73.6,8,7,12,7,26.9,7,7,0,0,0.0
Dender,Julien Devriendt,be BEL,GK,25.0,4,3,315.0,3.5,9,2.57,26,17,69.2,0,1,2,0,0.0,1,1,0,0,0.0
Dender,Guillaume Dietsch,fr FRA,GK,23.0,0,0,,0.5,1,,2,1,50.0,0,0,0,0,,0,0,0,0,
Cercle Brugge,Maxime Delanghe,be BEL,GK,23.0,21,21,1881.0,20.9,27,1.29,87,59,71.3,5,9,7,7,33.3,3,2,1,0,33.3
Cercle Brugge,Warleson,br BRA,GK,27.0,10,9,817.0,9.1,17,1.87,47,30,63.8,2,2,5,0,0.0,0,0,0,0,
Sint Truiden,Leo Kokubo,jp JPN,GK,23.0,27,27,2430.0,27.0,45,1.67,121,77,70.2,7,10,10,4,14.8,10,9,1,0,10.0
Sint Truiden,Jo Coppens,be BEL,GK,33.0,3,3,270.0,3.0,11,3.67,18,7,44.4,0,0,3,0,0.0,1,1,0,0,0.0
Kortrijk,Patrik Gunnarsson,is ISL,GK,23.0,10,10,900.0,10.3,16,1.6,36,21,55.6,3,2,6,1,10.0,0,0,0,0,
Kortrijk,Tom Vandenberghe,be BEL,GK,31.0,9,9,810.0,9.0,20,2.22,50,31,62.0,2,1,6,1,11.1,1,1,0,0,0.0
Kortrijk,Lucas Pirard,be BEL,GK,29.0,5,5,450.0,6.0,10,2.0,28,18,67.9,2,1,2,1,20.0,1,1,0,0,0.0
Kortrijk,Marko Ilić,rs SRB,GK,26.0,4,4,360.0,4.7,9,2.25,27,19,66.7,0,1,4,0,0.0,0,0,0,0,
Beerschot Wilrijk,Nick Shinton,be BEL,GK,23.0,21,21,1845.0,20.5,37,1.8,119,83,72.3,3,8,10,3,14.3,4,4,0,0,0.0
Beerschot Wilrijk,Davor Matijas,hr CRO,GK,24.0,10,9,852.0,9.5,22,2.32,45,22,64.4,0,1,8,2,22.2,7,6,1,0,14.3
