Team,Player,Age,Matches,Cmp%,Progressive Paces,Progressive Carries,Tackles+Interception,Blocks,Aerial Won,Fouls Commited,Dangerous Fouls,Errors,Rating
Anderlecht,Killian Sardella,22.0,21.9,77.1,4.7,2.7,2.5,1.1,1.0,0.5,6,0,55
Newcastle United,Lewis Hall,19.0,24.4,81.7,5.0,1.7,3.1,1.4,1.2,0.4,3,3,55
Monaco,Caio Henrique Oliveira Silva,27.0,21.5,74.1,4.7,2.7,2.7,1.2,0.6,0.7,3,0,54
Paris Saint Germain,Lucas Beraldo,20.0,22.4,94.4,5.8,0.4,2.6,0.7,2.0,1.0,9,3,54
Lyon,Ainsley Maitland-Niles,26.0,22.1,85.0,4.6,1.5,4.3,1.3,0.7,0.7,1,6,54
Juventus,Timothy Weah,24.0,18.3,83.7,3.1,2.5,2.7,1.4,1.0,1.1,4,2,54
Leicester City,James Justin,26.0,32.5,78.2,2.8,1.2,3.2,1.5,2.1,0.9,6,3,54
Mechelen,José Marsà,22.0,25.3,80.9,4.3,1.5,2.5,1.7,1.2,1.3,4,2,54
Atletico Madrid,Marcos Llorente,29.0,28.0,85.5,4.0,2.9,3.4,1.1,0.5,0.8,5,1,54
Hellas Verona,Daniele Ghilardi,21.0,22.6,78.4,2.5,0.7,3.3,1.3,1.8,1.5,12,0,54
Hellas Verona,Flavius Daniliuc,23.0,11.2,83.5,3.4,0.7,2.9,0.9,1.6,1.1,0,0,54
Torino,Adam Masina,30.0,21.4,84.1,3.4,0.7,2.8,1.3,3.1,1.1,5,2,54
Westerlo,Emin Bayram,21.0,16.7,83.5,5.9,0.8,3.6,1.5,2.3,0.8,33,1,54
Milan,Fikayo Tomori,26.0,17.7,92.4,3.6,0.5,3.4,1.0,1.6,0.6,12,2,54
Toulouse,Waren Kamanzi,23.0,11.4,83.0,2.9,2.5,3.3,0.6,0.6,1.4,3,0,54
Crystal Palace,Trevoh Chalobah,25.0,11.8,79.0,2.9,0.9,3.3,1.6,1.9,0.8,1,3,54
Internazionale,Alessandro Bastoni,25.0,26.9,88.4,6.0,2.3,2.5,0.9,1.6,1.6,14,1,54
Real Betis,Diego Llorente,30.0,28.0,86.7,2.9,0.2,2.8,1.0,2.8,0.7,7,1,54
Celta Vigo,Javi Rodríguez,21.0,28.0,86.7,4.1,1.0,3.1,1.0,1.4,1.3,7,2,54
Toulouse,Gabriel Suazo,26.0,24.1,79.6,4.5,1.7,3.9,1.1,0.5,1.3,0,1,54
Celta Vigo,Carl Starfelt,29.0,25.2,93.7,2.6,0.4,2.8,1.2,2.4,0.8,5,3,54
Lecce,Kialonda,26.0,23.8,86.5,1.4,0.2,2.8,1.8,3.8,0.4,6,1,54
Heidenheim,Benedikt Gimber,27.0,29.7,82.5,1.5,0.2,3.5,1.8,2.2,2.1,15,1,54
Arsenal,Jurriën Timber,23.0,27.0,85.6,5.4,2.1,3.0,0.7,0.8,1.1,7,1,54
Monchengladbach,Marvin Friedrich,28.0,11.0,88.4,3.3,1.0,1.8,1.5,3.1,0.5,0,0,54
Auxerre,Paul Joly,24.0,11.3,68.7,4.5,2.5,6.5,1.7,1.2,0.9,11,5,54
Werder Bremen,Felix Agu,24.0,19.6,79.7,2.2,1.7,2.6,1.4,1.1,0.6,1,0,54
Holstein Kiel,Finn Porath,27.0,22.0,66.9,2.6,1.9,3.0,1.2,1.2,1.4,3,0,54
Genk,Mujaid Sadick,24.0,26.7,94.1,5.3,0.7,2.9,1.4,0.9,0.9,13,1,54
Genoa,Stefano Sabelli,31.0,23.0,68.5,3.8,1.6,3.5,1.2,0.7,1.1,3,0,54
Holstein Kiel,Marko Ivezić,22.0,18.4,86.0,2.2,0.2,3.0,1.4,1.8,1.5,5,2,54
Valencia,José Luis Gayà,29.0,20.1,77.8,2.9,1.4,4.1,0.8,0.5,1.4,7,0,54
Wolfsburg,Kilian Fischer,23.0,25.7,78.6,4.3,2.0,3.2,1.6,0.8,1.3,7,2,54
Hoffenheim,Valentin Gendrey,24.0,15.8,69.9,3.1,1.5,2.8,1.2,1.6,0.8,1,0,54
Real Sociedad,Aihen Muñoz,26.0,12.3,71.0,3.1,2.1,3.1,0.9,1.9,1.2,8,0,54
Leganes,Jorge Sáenz,27.0,18.8,83.7,1.9,0.3,3.3,1.4,2.2,1.6,12,0,54
Dender,Fabio Ferraro,21.0,26.8,71.6,3.4,2.9,3.7,1.5,0.7,0.4,1,1,54
Monza,Pablo Marí,30.0,18.1,89.7,3.2,0.3,3.5,1.3,2.2,1.5,15,2,53
Monza,Danilo D'Ambrosio,35.0,12.2,86.8,2.8,0.8,3.5,1.0,1.3,1.5,7,2,53
Stuttgart,Julian Chabot,26.0,25.3,89.9,4.3,0.3,3.0,1.1,3.1,1.4,19,0,53
St Pauli,David Nemeth,23.0,23.8,86.4,2.7,0.6,2.6,1.2,1.6,0.9,3,2,53
Union SG,Christian Burgess,32.0,21.0,83.9,3.1,0.2,2.8,1.2,3.1,1.1,8,1,53
Monchengladbach,Ko Itakura,27.0,31.0,89.0,2.2,0.7,2.2,1.3,2.1,0.9,8,0,53
Augsburg,Jeffrey Gouweleeuw,33.0,32.7,82.6,4.3,0.7,2.6,1.0,1.9,0.7,12,0,53
Le Havre,Arouna Sangante,22.0,13.9,87.1,3.5,0.8,3.3,0.8,2.4,1.6,9,3,53
Rennes,Adrien Truffert,22.0,30.6,78.9,3.4,2.3,2.9,1.4,0.9,0.8,3,1,53
Reims,Mory Gbane,23.0,12.5,85.3,2.8,0.2,3.0,1.0,1.2,1.0,2,1,53
Ipswich Town,Jacob Greaves,23.0,24.5,85.8,2.8,0.4,2.5,1.7,3.4,0.7,5,3,53
Manchester United,Diogo Dalot,25.0,31.3,80.5,3.3,2.0,3.4,0.7,1.2,1.3,8,0,53
Lyon,Duje Ćaleta-Car,27.0,17.6,91.0,2.6,0.2,2.1,1.9,2.2,1.5,8,2,53
Internazionale,Yann Aurel Bisseck,23.0,18.3,91.8,5.1,1.7,1.9,1.3,2.6,0.9,10,1,53
Real Madrid,Lucas Vázquez,33.0,24.4,87.1,4.1,1.5,3.1,1.0,0.2,1.2,4,1,53
Atletico Madrid,Javi Galán,29.0,19.9,82.9,2.7,2.6,3.2,0.7,1.3,1.9,11,0,53
Atletico Madrid,Nahuel Molina,26.0,17.7,79.9,3.4,2.0,3.2,0.9,0.6,0.7,1,0,53
Rayo Vallecano,Andrei Ratiu,26.0,34.1,81.6,4.3,3.6,2.9,1.3,0.6,0.7,5,2,53
Newcastle United,Valentino Livramento,21.0,31.6,85.4,5.0,2.6,2.4,1.2,0.9,0.2,1,1,53
Athletic Club,Óscar de Marcos,35.0,17.4,79.2,5.9,1.5,2.8,1.0,0.5,0.9,0,0,53
Athletic Club,Adama Boiro,22.0,12.3,79.9,3.7,2.0,2.6,0.8,1.3,1.1,3,1,53
Bochum,Tim Oermann,20.0,24.7,82.4,2.5,0.6,2.9,1.3,1.1,0.6,0,0,53
Heidenheim,Jonas Föhrenbach,28.0,20.4,72.5,2.9,1.8,3.0,1.4,0.7,0.7,3,0,53
Sevilla,Adrià Pedrosa,26.0,25.6,74.1,3.1,1.6,3.1,1.7,0.4,1.5,7,0,52
Las Palmas,Mika Mármol,23.0,26.7,74.4,4.0,1.2,3.7,1.7,1.0,1.2,8,2,52
Auxerre,Sinaly Diomande,23.0,21.6,84.6,3.3,0.4,3.2,1.7,1.3,1.1,9,2,52
Las Palmas,Juan Herzog,21.0,14.6,86.4,1.8,0.0,2.1,1.2,3.0,0.4,1,0,52
Eintracht Frankfurt,Nnamdi Collins,20.0,16.6,86.3,3.8,1.8,3.0,1.3,0.8,1.6,4,3,52
Werder Bremen,Miloš Veljković,28.0,11.4,86.7,5.6,0.8,1.1,1.2,2.1,0.4,4,1,52
Wolfsburg,Denis Vavro,28.0,27.4,86.9,3.5,0.3,2.1,1.8,2.9,0.3,4,3,52
Augsburg,Dimitris Giannoulis,28.0,29.5,74.7,3.5,2.0,3.2,1.7,0.3,0.6,8,0,52
Werder Bremen,Niklas Stark,29.0,23.5,85.6,2.6,0.3,2.9,1.7,2.0,1.3,14,1,52
Alaves,Nahuel Tenaglia,28.0,32.5,72.1,3.2,1.3,4.4,1.0,1.4,1.1,11,2,52
Montpellier,Théo Sainte-Luce,25.0,11.4,74.1,1.9,1.7,3.2,1.4,1.3,0.7,3,1,52
Le Havre,Loïc Nego,33.0,27.4,75.1,3.7,2.3,3.2,0.6,0.7,1.0,4,0,52
Lille,Gabriel Gudmundsson,25.0,20.0,82.1,4.6,3.6,2.6,1.0,0.6,1.5,3,3,52
Nantes,Nicolas Pallois,36.0,22.5,83.6,2.3,0.3,4.0,2.1,0.9,1.0,12,3,52
Southampton,Jan Bednarek,28.0,28.2,92.7,2.1,0.2,3.3,1.7,2.5,1.1,10,5,52
Sint Truiden,Ryoya Ogawa,27.0,27.3,73.1,3.6,1.7,2.9,1.6,1.3,0.8,9,1,52
Mallorca,Copete,24.0,17.0,83.3,2.8,0.6,2.7,1.4,1.6,1.6,6,2,52
Hoffenheim,Stanley N'Soki,25.0,14.6,85.8,3.6,0.7,3.3,1.5,1.5,0.8,8,3,52
Arsenal,Gabriel Magalhães,26.0,26.3,90.2,4.8,0.4,1.6,1.6,2.0,0.7,4,2,52
Rayo Vallecano,Abdul Mumin,26.0,22.4,82.9,1.8,0.5,2.7,1.8,1.4,1.0,11,0,52
Gent,Tsuyoshi Watanabe,27.0,26.9,86.2,3.4,0.6,2.4,1.5,2.4,0.8,3,2,52
Aston Villa,Ian Maatsen,22.0,12.7,81.5,3.9,2.4,3.5,1.0,0.8,0.9,5,3,52
Auxerre,Jubal,30.0,29.4,86.8,1.1,0.0,2.9,2.1,2.4,0.9,13,1,52
Toulouse,Mark McKenzie,25.0,27.7,86.1,3.5,0.4,2.7,1.1,1.6,1.1,9,1,52
Real Betis,Natan,23.0,24.2,88.7,2.1,0.5,2.6,1.0,2.7,0.8,10,2,52
Rayo Vallecano,Pep Chavarría,26.0,28.8,79.7,4.0,2.0,2.6,1.2,0.8,1.1,6,1,52
Wolverhampton Wanderers,Matt Doherty,32.0,23.5,82.8,3.4,1.2,2.6,1.2,2.4,0.8,6,3,52
West Ham United,Jean-Clair Todibo,24.0,20.4,87.9,1.9,0.4,3.6,1.2,1.4,0.8,3,3,52
Juventus,Pierre Kalulu,24.0,26.0,93.1,4.5,1.8,2.2,1.0,1.0,1.0,10,1,52
Bournemouth,Illia Zabarnyi,21.0,34.6,82.1,4.0,0.8,2.7,1.0,2.2,0.6,9,2,52
Crystal Palace,Maxence Lacroix,24.0,34.7,81.7,1.9,0.2,3.5,1.4,1.7,1.0,8,2,52
Tottenham Hotspur,Pedro Porro,24.0,29.0,73.2,5.3,2.2,3.5,1.5,0.4,0.9,5,2,52
Brentford,Kristoffer Ajer,26.0,16.1,78.3,3.5,1.7,2.4,1.1,1.7,0.8,5,0,52
Brest,Brendan Chardonnet,29.0,26.9,82.1,1.9,0.3,2.8,1.7,2.2,1.3,6,2,52
Chelsea,Wesley Fofana,23.0,13.1,90.2,2.4,1.5,2.1,1.1,2.1,1.8,7,2,52
Manchester City,Matheus Nunes,25.0,18.6,86.3,4.2,3.4,2.7,0.9,0.8,1.6,7,2,52
Espanyol,Marash Kumbulla,24.0,33.1,84.5,2.1,0.3,2.6,1.5,2.1,1.1,9,2,52
Dender,Joedrick Pupe,27.0,24.1,74.3,6.8,0.8,2.9,1.5,2.0,0.9,17,0,52
Sevilla,Carmona,22.0,32.8,80.5,3.3,1.4,4.6,1.1,1.0,1.5,11,3,52
Nice,Youssouf Ndayishimiye,25.0,21.5,89.4,4.0,0.8,2.8,1.6,1.7,0.9,5,4,52
Lazio,Mario Gila,23.0,30.5,91.6,5.1,1.6,2.7,0.7,2.2,1.0,8,4,52
West Ham United,Konstantinos Mavropanos,26.0,22.7,86.3,2.7,0.7,3.3,1.1,2.5,0.7,14,1,52
Athletic Club,Yuri Berchiche,34.0,22.7,84.0,7.1,1.9,2.6,1.1,1.2,0.8,8,3,52
Atalanta,Isak Hien,25.0,25.9,89.7,2.0,0.3,3.1,1.2,2.6,1.4,13,2,52
Everton,James Tarkowski,31.0,32.5,81.0,2.3,0.3,3.2,1.8,3.1,1.1,9,4,51
Villarreal,Kiko Femenía,33.0,24.8,88.9,4.5,2.1,3.6,0.8,0.2,0.8,7,3,51
Antwerp,Kobe Corbanie,19.0,13.1,85.0,3.9,0.8,3.3,1.0,0.5,0.8,2,1,51
Mechelen,Ahmed Touba,26.0,22.2,88.9,4.2,0.3,3.2,0.7,2.9,0.8,12,2,51
Barcelona,Alejandro Balde,20.0,25.5,88.0,3.6,4.2,0.9,0.9,0.6,0.6,2,0,51
Lazio,Alessio Romagnoli,29.0,29.7,91.8,3.0,0.3,2.5,1.1,2.8,1.0,14,1,51
Club Brugge,Maxim De Cuyper,23.0,24.6,78.6,7.6,1.3,2.7,1.1,0.7,0.9,3,2,51
Saint Etienne,Mickael Nade,25.0,25.6,90.0,2.8,0.7,3.6,1.4,1.1,0.7,4,8,51
Fiorentina,Pietro Comuzzo,19.0,24.5,85.7,3.1,0.6,2.9,1.4,2.6,1.0,5,4,51
Bologna,Charalambos Lykogiannis,30.0,11.7,71.4,4.2,0.9,2.9,0.9,2.2,0.9,3,1,51
Charleroi,Stelios Andreou,22.0,24.2,85.9,4.0,0.7,2.9,1.4,1.7,0.5,13,2,51
Liverpool,Virgil van Dijk,33.0,37.0,91.6,5.4,0.6,2.5,0.7,3.2,0.5,5,4,51
Udinese,Thomas Kristensen,22.0,19.5,79.9,3.9,1.0,2.7,0.9,3.1,1.6,8,2,51
Heidenheim,Frans Krätzig,21.0,13.6,75.9,2.7,1.8,3.6,0.9,0.2,0.5,4,0,51
Brighton and Hove Albion,Lewis Dunk,32.0,23.2,91.0,6.1,0.9,1.3,1.2,2.2,0.3,5,2,51
Brentford,Sepp van den Berg,22.0,28.8,85.4,2.7,0.4,2.1,1.8,3.3,0.8,3,3,51
Toulouse,Jaydee Canvot,18.0,12.3,86.2,3.3,0.7,2.8,0.8,1.3,1.5,2,1,51
Brighton and Hove Albion,Jan Paul van Hecke,24.0,32.9,88.2,6.9,1.7,2.1,1.1,2.5,0.8,16,2,51
Torino,Saúl Coco,25.0,31.6,88.3,2.2,0.5,2.7,1.6,2.0,1.7,10,4,51
Westerlo,Bryan Reynolds,23.0,26.3,74.7,7.1,3.0,2.5,1.1,0.8,1.2,11,1,51
Udinese,Jordan Zemura,24.0,15.8,76.5,2.7,1.6,3.0,1.1,0.4,1.4,2,0,51
Udinese,Christian Kabasele,33.0,13.0,85.3,3.4,0.7,2.4,1.1,2.7,1.5,6,1,51
Crystal Palace,Tyrick Mitchell,24.0,34.5,72.0,2.0,1.8,3.2,2.0,0.6,0.7,2,2,51
Angers,Carlens Arcus,28.0,22.9,79.4,3.1,1.7,3.4,1.0,1.4,1.7,3,3,51
Espanyol,Omar El Hilali,20.0,35.1,78.9,2.4,1.0,4.5,1.5,1.0,1.5,17,2,51
Reims,Joseph Okumu,27.0,18.9,81.5,6.1,1.0,2.9,1.7,1.9,0.8,19,2,51
Holstein Kiel,Max Geschwill,23.0,14.3,74.3,4.1,0.4,3.9,1.0,1.0,0.9,2,1,51
Barcelona,Pau Cubarsí,17.0,29.2,93.5,6.5,0.9,1.7,0.4,2.1,0.8,6,1,51
Kortrijk,Dion De Neve,22.0,20.5,67.4,2.7,3.0,2.7,1.7,0.5,0.4,0,1,51
Nantes,Nicolas Cozza,25.0,22.8,77.7,2.8,1.1,3.7,1.1,0.7,0.6,8,0,51
Napoli,Giovanni Di Lorenzo,30.0,37.0,83.6,6.1,1.4,2.6,0.5,1.2,1.2,6,1,51
Holstein Kiel,Marco Komenda,27.0,14.6,78.8,3.6,0.9,2.2,1.6,1.0,1.1,3,0,51
Eintracht Frankfurt,Arthur Theate,24.0,30.1,82.6,5.7,1.7,2.5,1.4,1.8,0.5,14,3,51
Leganes,Matija Nastasić,31.0,23.5,82.6,2.5,0.0,2.0,1.7,1.7,0.6,9,0,51
RB Leipzig,Lukas Klostermann,28.0,20.5,88.4,4.0,0.8,2.5,1.5,1.0,0.6,5,3,50
Napoli,Amir Rrahmani,30.0,37.9,91.0,5.0,0.8,1.7,1.1,3.3,1.1,2,2,50
Kortrijk,Mark Mampasi,21.0,11.6,69.2,3.5,0.5,2.8,1.1,3.4,1.4,12,0,50
Lille,Aïssa Mandi,32.0,19.3,88.7,4.2,0.6,2.4,1.2,0.7,0.4,3,0,50
Marseille,Michael Amir Murillo,28.0,27.1,87.5,5.2,1.6,2.5,0.8,1.5,1.1,6,4,50
Lazio,Nuno Tavares,24.0,18.9,78.7,5.9,5.2,2.6,1.1,0.6,1.0,15,2,50
Tottenham Hotspur,Micky van de Ven,23.0,11.3,90.9,4.5,0.7,1.8,1.1,1.7,0.9,4,1,50
Milan,Matteo Gabbia,24.0,24.0,91.2,3.1,0.5,1.5,1.0,2.0,0.8,4,1,50
Westerlo,Luka Vušković,17.0,27.5,84.3,5.6,1.3,1.8,1.5,4.0,0.7,14,0,50
Como,Alberto Dossena,25.0,20.3,87.6,1.8,0.2,2.7,1.1,2.9,1.1,12,1,50
Roma,Gianluca Mancini,28.0,34.9,86.0,4.0,1.3,2.2,0.6,1.7,1.4,8,0,50
Roma,Alexis Saelemaekers,25.0,15.6,81.5,3.4,2.5,2.7,0.8,0.5,0.8,4,1,50
Mechelen,Rafik Belghali,22.0,17.4,79.0,4.5,2.4,2.8,1.1,0.2,1.0,2,1,50
Chelsea,Malo Gusto,21.0,20.7,86.5,5.7,2.4,3.3,1.4,0.4,1.0,4,5,50
Milan,Malick Thiaw,22.0,20.1,93.1,4.4,0.6,1.9,0.7,2.4,1.2,2,1,50
Standard Liege,Ilay Camara,21.0,23.8,72.0,3.3,4.2,2.7,1.0,0.3,1.1,2,1,50
Brest,Massadio Haïdara,31.0,18.7,78.6,4.1,2.4,2.8,1.0,1.3,1.1,16,0,50
Toulouse,Djibril Sidibé,32.0,23.4,79.7,5.2,0.7,3.6,0.5,0.7,0.9,1,1,50
Real Betis,Aitor Ruibal,28.0,14.7,80.9,3.4,1.4,3.1,1.4,0.5,0.7,5,1,50
Liverpool,Ibrahima Konaté,25.0,28.5,90.2,4.0,0.9,2.0,1.0,2.6,0.9,5,3,50
Girona,Arnau Martinez,21.0,29.2,86.4,5.5,1.4,2.8,0.6,1.0,0.7,6,2,50
Holstein Kiel,David Zec,24.0,17.2,87.7,2.0,0.2,2.3,1.9,2.0,1.2,5,3,50
Real Sociedad,Igor Zubeldia,27.0,25.2,86.4,4.0,0.9,2.6,1.3,2.6,1.5,14,2,50
Parma,Woyo Coulibaly,25.0,12.1,86.7,3.4,3.0,1.7,1.6,0.7,1.0,6,0,50
Reims,Cédric Kipré,27.0,24.3,88.9,3.2,0.7,3.0,1.7,1.7,1.0,17,2,50
Auxerre,Ki-Jana Hoever,22.0,23.8,70.8,3.3,2.5,3.0,1.4,1.0,0.9,12,1,50
Lecce,Frederic Guilbert,29.0,27.2,76.8,3.2,1.8,4.1,1.0,1.5,1.2,16,3,50
Empoli,Ardian Ismajli,27.0,27.9,86.8,1.4,0.1,3.1,1.3,2.8,0.8,3,3,50
Bayer Leverkusen,Edmond Tapsoba,25.0,27.9,86.4,5.9,1.9,2.3,0.8,1.9,1.2,7,3,50
Mainz 05,Danny da Costa,31.0,22.4,78.4,4.9,0.9,3.1,0.8,1.5,0.8,0,3,50
Villarreal,Sergi Cardona,25.0,32.8,77.3,2.3,1.6,3.4,1.6,1.2,1.2,14,1,49
Roma,Angeliño,27.0,35.3,78.4,4.9,1.9,2.1,0.9,0.8,0.9,1,0,49
Crystal Palace,Marc Guéhi,24.0,34.0,83.5,3.9,0.6,2.6,1.6,2.0,0.7,17,2,49
Lens,Facundo Medina,25.0,28.3,87.6,6.1,1.6,2.7,1.1,1.1,1.0,26,0,49
Beerschot Wilrijk,Derrick Tshimanga,35.0,11.5,84.1,3.4,0.3,3.4,1.1,0.5,0.8,1,1,49
Nice,Melvin Bard,23.0,21.6,77.4,4.1,2.5,3.8,1.8,1.1,0.8,17,3,49
Bochum,Maximilian Wittek,28.0,30.2,70.6,4.7,1.6,3.0,1.8,0.8,1.1,8,3,49
Aston Villa,Tyrone Mings,31.0,12.5,88.2,3.2,0.6,1.1,1.0,2.2,0.3,1,1,49
Roma,Zeki Çelik,27.0,25.2,82.2,4.2,1.1,3.1,1.1,1.2,1.2,8,3,49
Monza,Andrea Carboni,23.0,24.4,85.5,2.1,0.4,3.6,1.3,1.6,1.2,8,4,49
Bayer Leverkusen,Jonathan Tah,28.0,33.0,92.9,5.1,0.5,1.7,0.7,2.3,0.5,3,2,49
Werder Bremen,Derrick Köhn,25.0,15.1,79.3,2.6,2.4,2.0,1.4,0.5,0.9,2,0,49
Montpellier,Falaye Sacko,29.0,13.7,83.6,4.3,1.5,2.0,1.2,0.6,1.1,7,0,49
Angers,Florent Hanin,34.0,29.8,77.5,3.3,1.6,3.9,1.0,0.5,0.5,2,2,49
Real Sociedad,Aritz Elustondo,30.0,16.2,85.4,3.1,1.0,1.9,1.0,1.8,1.5,7,0,49
Venezia,Fali Candé,26.0,17.0,81.0,2.8,0.3,2.4,1.2,2.2,1.4,4,2,49
Valladolid,Lucas Oliveira Rosa,24.0,21.0,76.5,2.4,1.5,3.9,1.1,0.9,1.7,6,2,49
Lecce,Antonino Gallo,24.0,29.0,66.2,3.7,2.0,2.9,1.1,0.9,0.4,8,0,49
Anderlecht,Moussa N'Diaye,22.0,18.1,86.3,7.0,2.6,3.4,0.7,1.0,1.2,14,3,49
Mallorca,Pablo Maffeo,27.0,26.4,70.8,2.8,1.7,3.2,1.2,0.8,0.8,7,1,49
Southampton,Ryan Manning,28.0,16.4,77.1,2.1,0.9,2.7,1.2,0.9,1.2,2,0,49
Ipswich Town,Luke Woolfenden,25.0,13.2,88.3,1.1,0.5,2.1,1.6,1.1,0.4,2,0,49
Lazio,Manuel Lazzari,30.0,15.7,79.1,4.2,4.6,2.3,0.6,0.3,0.8,6,0,49
Atletico Madrid,José María Giménez,29.0,22.2,91.8,2.9,0.1,2.4,1.3,1.7,0.6,5,2,49
Strasbourg,Diego Moreira,19.0,28.7,77.5,3.0,3.4,2.8,0.8,0.9,0.9,12,0,49
Aston Villa,Lucas Digne,31.0,26.3,74.9,2.2,0.9,3.4,0.9,1.4,0.8,4,1,49
Bochum,Ivan Ordets,32.0,20.7,80.0,2.3,0.1,2.9,1.4,4.6,1.1,6,3,49
Toulouse,Aron Dønnum,26.0,30.0,72.5,4.2,3.1,2.8,1.0,0.4,1.3,6,1,49
Osasuna,Abel,23.0,23.1,72.5,3.3,2.2,3.4,1.3,0.9,1.1,6,2,49
Chelsea,Tosin Adarabioyo,26.0,15.7,91.1,2.7,0.3,1.8,0.6,2.7,0.5,4,0,49
Internazionale,Denzel Dumfries,28.0,21.8,72.6,2.3,2.5,1.4,1.4,2.6,2.5,4,1,49
Charleroi,Vetle Dragsnes,30.0,24.0,77.1,3.8,2.3,2.1,1.1,0.8,0.8,2,0,49
Dender,David Hrnčár,26.0,17.8,67.2,3.3,1.1,2.6,0.9,1.3,0.5,6,0,48
Marseille,Derek Cornelius,26.0,15.8,93.4,4.3,0.6,2.4,1.0,2.0,1.6,28,0,48
Southampton,James Bree,26.0,12.0,83.5,2.8,1.1,2.3,0.8,1.0,0.3,0,0,48
Hoffenheim,Pavel Kadeřábek,32.0,17.6,70.1,2.7,0.9,2.6,0.7,3.2,1.2,6,1,48
Holstein Kiel,Lasse Rosenboom,22.0,19.3,65.1,1.8,1.0,3.4,1.5,1.6,1.0,3,3,48
Union Berlin,Danilho Doekhi,26.0,34.0,78.3,2.8,0.4,2.4,1.0,2.7,1.1,7,1,48
OH Leuven,Takuma Ominami,26.0,14.8,88.1,1.9,0.3,1.8,1.0,2.9,0.7,2,0,48
Lens,Malang Sarr,25.0,15.4,89.4,3.5,0.3,2.8,1.2,1.2,0.8,9,3,48
Lille,Alexsandro Ribeiro,24.0,30.0,91.2,5.9,0.8,2.0,0.8,2.1,0.9,13,3,48
Roma,Obite N'Dicka,24.0,38.0,92.1,2.8,0.8,1.7,1.2,1.6,1.0,2,2,48
Wolverhampton Wanderers,Rayan Aït-Nouri,23.0,34.7,84.2,3.1,2.6,3.3,1.2,0.6,0.9,15,2,48
Brentford,Nathan Collins,23.0,38.0,85.9,3.3,0.8,1.9,2.0,3.1,0.8,5,3,48
Fiorentina,Luca Ranieri,25.0,34.2,85.4,2.3,0.7,2.0,1.4,1.4,0.7,10,1,48
Juventus,Federico Gatti,26.0,24.5,95.0,3.0,1.0,1.9,1.1,1.5,0.8,2,2,48
Mechelen,Patrick Pflücke,27.0,16.4,80.1,4.0,2.5,2.0,1.1,0.2,0.3,1,0,48
Standard Liege,Henry Lawrence,22.0,23.1,74.6,3.2,0.9,2.9,1.2,1.5,0.8,9,1,48
Angers,Jordan Lefort,30.0,34.0,82.7,2.6,0.2,2.5,1.6,1.2,0.4,6,3,48
Brentford,Ethan Pinnock,31.0,21.3,85.6,1.9,0.1,2.8,1.4,3.0,0.4,5,4,48
Lyon,Clinton Mata,31.0,26.4,88.5,3.3,0.8,3.3,1.0,0.8,1.0,6,3,48
Brest,Abdoulaye Niakhate Ndiaye,22.0,19.0,86.4,2.1,0.3,3.2,1.5,2.4,1.1,15,3,48
Nottingham Forest,Murillo,22.0,35.5,78.5,3.2,0.6,2.5,1.9,1.2,0.8,9,3,48
Torino,Mërgim Vojvoda,29.0,12.4,83.6,5.2,1.5,2.0,1.0,0.6,1.0,4,1,48
Dortmund,Julian Ryerson,26.0,25.2,85.3,3.7,2.6,2.7,1.2,0.4,1.2,14,1,48
Mainz 05,Phillipp Mwene,30.0,29.1,75.0,3.6,2.1,2.6,0.9,0.7,0.8,7,1,48
